,Abstract 1,Abstract 2,Abstract 3,Abstract 4,Abstract 5,Abstract 6,Abstract 7,Abstract 8,Abstract 9,Abstract 10
Abstract 1,1.0,0.0886,0.0213,0.0741,0.0709,0.0506,0.0429,0.0385,0.039,0.0625
Abstract 2,0.0886,1.0,0.037,0.0368,0.0738,0.0821,0.0429,0.0816,0.0222,0.0412
Abstract 3,0.0213,0.037,1.0,0.0444,0.0732,0.0167,0.0677,0.0315,0.047,0.0493
Abstract 4,0.0741,0.0368,0.0444,1.0,0.1271,0.0337,0.0593,0.0394,0.0537,0.1029
Abstract 5,0.0709,0.0738,0.0732,0.1271,1.0,0.0542,0.072,0.0696,0.035,0.1016
Abstract 6,0.0506,0.0821,0.0167,0.0337,0.0542,1.0,0.0511,0.061,0.0153,0.0909
Abstract 7,0.0429,0.0429,0.0677,0.0593,0.072,0.0511,1.0,0.0391,0.0533,0.0942
Abstract 8,0.0385,0.0816,0.0315,0.0394,0.0696,0.061,0.0391,1.0,0.028,0.0526
Abstract 9,0.039,0.0222,0.047,0.0537,0.035,0.0153,0.0533,0.028,1.0,0.0577
Abstract 10,0.0625,0.0412,0.0493,0.1029,0.1016,0.0909,0.0942,0.0526,0.0577,1.0
